t_sec,presence,proximity,gaze,sws
1784870922.8,1.00,1.00,0.65,89.4
1784870923.8,1.00,1.00,0.64,89.1
1784870924.8,1.00,1.00,0.60,88.0
1784870925.8,1.00,1.00,0.60,87.9
1784870926.8,1.00,1.00,0.57,87.1
1784870927.8,1.00,1.00,0.54,86.1
1784870928.8,1.00,1.00,0.51,85.2
1784870929.8,1.00,1.00,0.47,84.1
1784870930.8,1.00,1.00,0.44,83.1
1784870931.8,1.00,1.00,0.40,82.1
1784870932.8,1.00,1.00,0.37,81.0
1784870933.8,1.00,1.00,0.33,80.0
1784870934.8,1.00,1.00,0.30,79.0
1784870935.8,1.00,1.00,0.26,77.9
1784870936.8,1.00,1.00,0.23,76.9
1784870937.8,1.00,1.00,0.20,75.9
1784870938.8,1.00,1.00,0.16,74.8
1784870939.8,1.00,1.00,0.13,74.0
1784870940.8,1.00,1.00,0.12,73.7
1784870941.8,1.00,1.00,0.10,72.9
1784870942.8,1.00,1.00,0.10,72.9
1784870943.8,1.00,1.00,0.10,72.9
1784870944.8,1.00,1.00,0.10,72.9
1784870945.8,1.00,1.00,0.10,72.9
1784870946.8,1.00,1.00,0.10,72.9
1784870947.8,1.00,1.00,0.09,72.8
1784870948.8,1.00,1.00,0.09,72.8
1784870949.8,1.00,1.00,0.09,72.8
1784870950.8,1.00,1.00,0.09,72.8
1784870951.8,1.00,1.00,0.09,72.8
1784870952.8,1.00,1.00,0.09,72.7
1784870953.8,1.00,1.00,0.07,72.0
1784870954.8,1.00,1.00,0.07,72.0
1784870955.8,1.00,1.00,0.04,71.1
1784870956.8,1.00,1.00,0.03,70.9
1784870957.8,1.00,1.00,0.03,70.9
1784870958.8,1.00,1.00,0.03,70.9
1784870959.8,1.00,1.00,0.03,70.9
1784870960.8,1.00,1.00,0.03,70.9
1784870961.8,1.00,1.00,0.03,70.9
1784870962.8,1.00,1.00,0.03,70.9
1784870963.8,1.00,1.00,0.03,70.9
1784870964.8,1.00,1.00,0.03,70.9
1784870965.8,1.00,1.00,0.03,70.9
1784870966.8,1.00,1.00,0.03,70.9
1784870967.8,1.00,1.00,0.03,70.9
1784870968.8,1.00,1.00,0.03,70.9
1784870969.8,0.99,1.00,0.02,70.4
1784870970.8,0.96,1.00,0.00,68.4
1784870971.8,0.93,1.00,0.00,67.1
1784870972.8,0.89,1.00,0.00,65.7
1784870973.8,0.86,1.00,0.00,64.4
1784870974.8,0.83,1.00,0.00,63.0
1784870975.8,0.79,1.00,0.00,61.7
1784870976.8,0.76,1.00,0.00,60.3
1784870977.8,0.72,1.00,0.00,59.0
1784870978.8,0.69,1.00,0.00,57.6
1784870979.8,0.66,1.00,0.00,56.3
1784870980.8,0.62,1.00,0.00,54.9
1784870981.8,0.59,1.00,0.00,53.6
1784870982.8,0.56,1.00,0.00,52.2
1784870983.8,0.52,1.00,0.00,50.9
1784870984.8,0.49,1.00,0.00,49.5
1784870985.8,0.45,1.00,0.00,48.2
1784870986.8,0.42,1.00,0.00,46.9
1784870987.8,0.39,1.00,0.00,45.6
1784870988.8,0.36,1.00,0.00,44.2
1784870989.8,0.32,1.00,0.00,42.9
1784870990.8,0.29,1.00,0.00,41.5
1784870991.8,0.26,1.00,0.00,40.2
1784870992.8,0.22,1.00,0.00,38.9
1784870993.8,0.19,1.00,0.00,37.5
1784870994.8,0.16,1.00,0.00,36.2
1784870995.8,0.12,1.00,0.00,34.9
1784870996.8,0.09,1.00,0.00,33.6
1784870997.8,0.06,1.00,0.00,32.4
1784870998.8,0.03,1.00,0.00,31.0
1784870999.8,0.00,0.00,0.00,0.0
1784871000.8,0.00,0.00,0.00,0.0
1784871001.8,0.00,0.00,0.00,0.0
1784871002.8,0.00,0.00,0.00,0.0
1784871003.8,0.00,0.00,0.00,0.0
1784871004.8,0.00,0.00,0.00,0.0
1784871005.8,0.00,0.00,0.00,0.0
1784871006.8,0.00,0.00,0.00,0.0
1784871007.8,0.00,0.00,0.00,0.0
1784871008.8,0.00,0.00,0.00,0.0
1784871009.8,0.00,0.00,0.00,0.0
1784871010.8,0.00,0.00,0.00,0.0
1784871011.8,0.00,0.00,0.00,0.0
1784871012.8,0.00,0.00,0.00,0.0
1784871013.8,0.00,0.00,0.00,0.0
1784871014.8,0.00,0.00,0.00,0.0
1784871015.8,0.00,0.00,0.00,0.0
1784871016.8,0.00,0.00,0.00,0.0
1784871017.8,0.00,0.00,0.00,0.0
1784871018.8,0.00,0.00,0.00,0.0
1784871019.8,0.00,0.00,0.00,0.0
1784871020.8,0.00,0.00,0.00,0.0
1784871021.8,0.00,0.00,0.00,0.0
1784871022.8,0.00,0.00,0.00,0.0
1784871023.8,0.00,0.00,0.00,0.0
1784871024.8,0.00,0.00,0.00,0.0
1784871025.8,0.00,0.00,0.00,0.0
1784871026.8,0.00,0.00,0.00,0.0
1784871027.8,0.00,0.00,0.00,0.0
1784871028.8,0.00,0.00,0.00,0.0
1784871029.8,0.00,0.00,0.00,0.0
1784871030.8,0.00,0.00,0.00,0.0
1784871031.8,0.00,0.00,0.00,0.0
1784871032.8,0.00,0.00,0.00,0.0
1784871033.8,0.00,0.00,0.00,0.0
1784871034.8,0.00,0.00,0.00,0.0
1784871035.8,0.00,0.00,0.00,0.0
1784871036.8,0.00,0.00,0.00,0.0
1784871037.8,0.00,0.00,0.00,0.0
