t_sec,presence,proximity,gaze,sws
1784662323.4,0.00,0.00,0.00,0.0
1784662324.4,0.00,0.00,0.00,0.0
1784662325.4,0.00,0.00,0.00,0.0
1784662326.4,0.00,0.00,0.00,0.0
1784662327.4,0.00,0.00,0.00,0.0
1784662328.4,0.00,0.00,0.00,0.0
1784662329.4,0.00,0.00,0.00,0.0
1784662330.4,0.00,0.00,0.00,0.0
1784662331.4,0.00,0.00,0.00,0.0
1784662332.4,0.00,0.00,0.00,0.0
1784662333.4,0.00,0.00,0.00,0.0
1784662334.4,0.00,0.00,0.00,0.0
1784662335.4,0.00,0.00,0.00,0.0
1784662336.4,0.00,0.00,0.00,0.0
1784662337.4,0.00,0.00,0.00,0.0
1784662338.4,0.00,0.00,0.00,0.0
1784662339.4,0.00,0.00,0.00,0.0
1784662340.4,0.00,0.00,0.00,0.0
1784662341.4,0.00,0.00,0.00,0.0
1784662342.4,0.00,0.00,0.00,0.0
1784662343.4,0.00,0.00,0.00,0.0
1784662344.4,0.00,0.00,0.00,0.0
1784662345.4,0.00,0.00,0.00,0.0
1784662346.4,0.00,0.00,0.00,0.0
1784662347.4,0.00,0.00,0.00,0.0
1784662348.4,0.00,0.00,0.00,0.0
1784662349.4,0.00,0.00,0.00,0.0
1784662350.4,0.00,0.00,0.00,0.0
1784662351.4,0.00,0.00,0.00,0.0
1784662352.4,0.00,0.00,0.00,0.0
1784662353.4,0.00,0.00,0.00,0.0
1784662354.4,0.00,0.00,0.00,0.0
1784662355.4,0.00,0.00,0.00,0.0
1784662356.4,0.00,0.00,0.00,0.0
1784662357.4,0.00,0.00,0.00,0.0
1784662358.4,0.00,0.00,0.00,0.0
1784662359.4,0.00,0.00,0.00,0.0
1784662360.4,0.00,0.00,0.00,0.0
1784662361.4,0.00,0.00,0.00,0.0
1784662362.4,0.00,0.00,0.00,0.0
1784662363.4,0.00,0.00,0.00,0.0
1784662364.4,0.00,0.00,0.00,0.0
1784662365.4,0.00,0.00,0.00,0.0
1784662366.4,0.00,0.00,0.00,0.0
1784662367.4,0.00,0.00,0.00,0.0
1784662368.4,0.00,0.00,0.00,0.0
1784662369.4,0.00,0.00,0.00,0.0
1784662370.4,0.00,0.00,0.00,0.0
1784662371.4,0.00,0.00,0.00,0.0
