t_sec,presence,proximity,gaze,sws
1784867345.8,1.00,0.00,0.00,40.0
1784867346.8,1.00,0.00,0.00,40.0
1784867347.8,1.00,0.00,0.00,40.0
1784867348.8,1.00,0.00,0.00,40.0
1784867349.8,1.00,0.00,0.00,40.0
1784867350.8,1.00,0.00,0.00,40.0
1784867351.8,1.00,0.00,0.00,40.0
1784867352.8,1.00,0.00,0.00,40.0
1784867353.8,1.00,0.00,0.00,40.0
1784867354.8,1.00,0.00,0.00,40.0
1784867355.8,1.00,0.00,0.00,40.0
1784867356.8,1.00,0.00,0.00,40.0
1784867357.8,1.00,0.00,0.00,40.0
1784867358.8,1.00,0.00,0.00,40.0
1784867359.8,1.00,0.00,0.00,40.0
1784867360.8,1.00,0.00,0.00,40.0
1784867361.8,1.00,0.00,0.00,40.0
1784867362.8,1.00,0.00,0.00,40.0
1784867363.8,1.00,0.00,0.00,40.0
1784867364.8,1.00,0.00,0.00,40.0
1784867365.8,1.00,0.00,0.00,40.0
1784867366.8,1.00,0.00,0.00,40.0
1784867367.8,1.00,0.00,0.00,40.0
1784867368.8,1.00,0.00,0.00,40.0
1784867369.8,1.00,0.00,0.00,40.0
1784867370.8,1.00,0.00,0.00,40.0
1784867371.8,1.00,0.00,0.00,40.0
1784867372.8,1.00,0.00,0.00,40.0
1784867373.8,1.00,0.00,0.00,40.0
1784867374.8,1.00,0.00,0.00,40.0
1784867375.8,1.00,0.00,0.00,40.0
1784867376.8,1.00,0.00,0.00,40.0
1784867377.8,1.00,0.00,0.00,40.0
1784867378.8,1.00,0.00,0.00,40.0
1784867379.8,1.00,0.00,0.00,40.0
1784867380.8,1.00,0.00,0.00,40.0
1784867381.8,1.00,0.00,0.00,40.0
1784867382.8,1.00,0.00,0.00,40.0
1784867383.8,1.00,0.00,0.00,40.0
1784867384.8,1.00,0.00,0.00,40.0
1784867385.8,1.00,0.00,0.00,40.0
1784867386.8,1.00,0.00,0.00,40.0
1784867387.8,1.00,0.00,0.00,40.0
1784867388.8,1.00,0.00,0.00,40.0
1784867389.8,1.00,0.00,0.00,40.0
1784867390.8,1.00,0.00,0.00,40.0
1784867391.8,1.00,0.00,0.00,40.0
1784867392.8,1.00,0.00,0.00,40.0
1784867393.8,1.00,0.00,0.00,40.0
1784867394.8,1.00,0.00,0.00,40.0
1784867395.8,1.00,0.00,0.00,40.0
1784867396.8,1.00,0.00,0.00,40.0
1784867397.8,1.00,0.00,0.00,40.0
1784867398.8,1.00,0.00,0.00,40.0
1784867399.8,1.00,0.00,0.00,40.0
1784867400.8,1.00,0.00,0.00,40.0
1784867401.8,1.00,0.00,0.00,40.0
1784867402.8,1.00,0.00,0.00,40.0
1784867403.8,1.00,0.00,0.00,40.0
1784867404.8,1.00,0.00,0.00,40.0
1784867405.8,1.00,0.00,0.00,40.0
1784867406.8,1.00,0.00,0.00,40.0
1784867407.8,1.00,0.00,0.00,40.0
1784867408.8,1.00,0.00,0.00,40.0
1784867409.8,1.00,0.00,0.00,40.0
1784867410.8,1.00,0.00,0.00,40.0
1784867411.8,1.00,0.00,0.00,40.0
1784867412.8,1.00,0.00,0.00,40.0
1784867413.8,1.00,0.00,0.00,40.0
1784867414.8,1.00,0.00,0.00,40.0
1784867415.8,1.00,0.00,0.00,40.0
1784867416.8,1.00,0.00,0.00,40.0
1784867417.8,1.00,0.00,0.00,40.0
1784867418.8,1.00,0.00,0.00,40.0
1784867419.8,1.00,0.00,0.00,40.0
1784867420.8,1.00,0.00,0.00,40.0
1784867421.8,1.00,0.00,0.06,41.8
1784867422.8,1.00,0.00,0.06,41.7
1784867423.8,1.00,0.00,0.05,41.4
1784867424.8,1.00,0.00,0.04,41.2
1784867425.8,1.00,0.00,0.03,41.0
1784867426.8,1.00,0.00,0.13,44.0
1784867427.8,1.00,0.00,0.24,47.3
1784867428.8,1.00,0.00,0.33,49.9
1784867429.8,1.00,0.00,0.37,50.8
1784867430.8,0.99,0.00,0.42,52.2
1784867431.8,0.98,0.00,0.42,51.6
1784867432.8,0.97,0.00,0.44,52.1
1784867433.8,0.97,0.00,0.48,53.1
1784867434.8,0.97,0.00,0.50,53.7
1784867435.8,0.97,0.00,0.53,54.7
1784867436.8,0.94,0.00,0.51,52.8
1784867437.8,0.92,0.00,0.51,52.1
1784867438.8,0.92,0.00,0.49,51.6
1784867439.8,0.92,0.00,0.46,50.9
1784867440.8,0.92,0.00,0.44,50.2
1784867441.8,0.92,0.00,0.42,49.6
1784867442.8,0.92,0.00,0.40,49.0
1784867443.8,0.92,0.00,0.39,48.5
1784867444.8,0.92,0.00,0.37,48.1
1784867445.8,0.92,0.00,0.36,47.6
1784867446.8,0.92,0.00,0.34,47.2
1784867447.8,0.92,0.00,0.37,47.9
1784867448.8,0.92,0.00,0.40,49.0
1784867449.8,0.92,0.00,0.44,50.1
1784867450.8,0.92,0.00,0.47,50.9
1784867451.8,0.92,0.00,0.45,50.4
1784867452.8,0.92,0.00,0.43,49.9
1784867453.8,0.92,0.00,0.43,49.8
1784867454.8,0.92,0.00,0.42,49.6
1784867455.8,0.92,0.00,0.42,49.6
1784867456.8,0.92,0.00,0.40,48.9
1784867457.8,0.92,0.00,0.37,47.9
1784867458.8,0.92,0.00,0.34,47.2
1784867459.8,0.93,0.00,0.35,47.7
1784867460.8,0.93,0.00,0.33,47.1
1784867461.8,0.95,0.00,0.31,47.3
1784867462.8,0.96,0.00,0.29,46.9
1784867463.8,0.96,0.00,0.27,46.4
1784867464.8,0.96,0.00,0.28,46.6
1784867465.8,0.96,0.00,0.28,46.6
1784867466.8,0.98,0.00,0.30,48.3
1784867467.8,1.00,0.00,0.28,48.4
1784867468.8,1.00,0.00,0.27,48.2
1784867469.8,1.00,0.00,0.29,48.8
1784867470.8,1.00,0.00,0.30,48.9
1784867471.8,1.00,0.00,0.30,48.9
1784867472.8,1.00,0.00,0.30,48.9
1784867473.8,1.00,0.00,0.30,48.9
1784867474.8,1.00,0.00,0.30,48.9
1784867475.8,1.00,0.00,0.30,48.9
1784867476.8,1.00,0.00,0.30,48.9
1784867477.8,1.00,0.00,0.27,48.1
1784867478.8,1.00,0.00,0.24,47.1
1784867479.8,1.00,0.00,0.20,46.1
1784867480.8,1.00,0.00,0.17,45.2
1784867481.8,1.00,0.00,0.18,45.4
1784867482.8,1.00,0.00,0.18,45.5
1784867483.8,1.00,0.00,0.20,45.9
1784867484.8,1.00,0.00,0.20,45.9
1784867485.8,1.00,0.00,0.20,46.1
1784867486.8,1.00,0.00,0.23,46.8
1784867487.8,1.00,0.00,0.23,46.8
1784867488.8,1.00,0.00,0.22,46.5
1784867489.8,1.00,0.00,0.18,45.5
1784867490.8,1.00,0.00,0.18,45.5
1784867491.8,1.00,0.00,0.19,45.6
1784867492.8,1.00,0.00,0.21,46.2
1784867493.8,1.00,0.00,0.22,46.5
1784867494.8,1.00,0.00,0.18,45.5
1784867495.8,1.00,0.00,0.15,44.5
1784867496.8,1.00,0.00,0.13,43.9
1784867497.8,1.00,0.00,0.13,43.9
1784867498.8,1.00,0.00,0.13,43.9
1784867499.8,1.00,0.00,0.11,43.3
1784867500.8,1.00,0.00,0.11,43.2
1784867501.8,1.00,0.00,0.11,43.2
1784867502.8,1.00,0.00,0.12,43.5
1784867503.8,1.00,0.00,0.14,44.3
1784867504.8,1.00,0.00,0.15,44.4
1784867505.8,1.00,0.00,0.18,45.4
1784867506.8,1.00,0.00,0.19,45.7
1784867507.8,1.00,0.00,0.19,45.7
1784867508.8,1.00,0.00,0.19,45.7
1784867509.8,1.00,0.00,0.19,45.7
1784867510.8,1.00,0.00,0.19,45.7
1784867511.8,1.00,0.00,0.18,45.5
1784867512.8,1.00,0.00,0.18,45.4
1784867513.8,1.00,0.00,0.17,45.0
1784867514.8,1.00,0.00,0.17,45.1
1784867515.8,1.00,0.00,0.16,44.9
1784867516.8,1.00,0.00,0.16,44.9
1784867517.8,1.00,0.00,0.20,46.0
1784867518.8,1.00,0.00,0.23,47.0
1784867519.8,1.00,0.00,0.27,48.0
1784867520.8,1.00,0.00,0.30,48.9
1784867521.8,1.00,0.00,0.33,49.8
1784867522.8,1.00,0.00,0.34,50.2
1784867523.8,1.00,0.00,0.35,50.4
1784867524.8,1.00,0.00,0.35,50.4
1784867525.8,1.00,0.00,0.35,50.4
1784867526.8,1.00,0.00,0.35,50.4
1784867527.8,1.00,0.00,0.35,50.4
1784867528.8,1.00,0.00,0.35,50.4
1784867529.8,1.00,0.00,0.35,50.4
1784867530.8,1.00,0.00,0.35,50.4
1784867531.8,1.00,0.00,0.35,50.4
1784867532.8,1.00,0.00,0.34,50.1
1784867533.8,1.00,0.00,0.31,49.3
1784867534.8,1.00,0.00,0.31,49.2
1784867535.8,1.00,0.00,0.27,48.1
1784867536.8,1.00,0.00,0.26,47.8
1784867537.8,1.00,0.00,0.26,47.8
1784867538.8,1.00,0.00,0.26,47.8
1784867539.8,1.00,0.00,0.28,48.4
