t_sec,presence,proximity,gaze,sws
1784758755.2,1.00,0.00,0.00,40.0
1784758756.2,1.00,0.00,0.00,40.0
1784758757.2,1.00,0.00,0.00,40.0
1784758758.2,1.00,0.00,0.00,40.0
1784758759.2,1.00,0.00,0.00,40.0
1784758760.2,1.00,0.00,0.00,40.0
1784758761.2,1.00,0.00,0.00,40.0
1784758762.2,1.00,0.00,0.00,40.0
1784758763.2,1.00,0.00,0.00,40.0
1784758764.2,1.00,0.00,0.00,40.0
1784758765.2,1.00,0.00,0.00,40.0
1784758766.2,1.00,0.00,0.00,40.0
1784758767.2,1.00,0.00,0.00,40.0
1784758768.2,1.00,0.00,0.00,40.0
1784758769.2,1.00,0.00,0.00,40.0
1784758770.2,1.00,0.00,0.00,40.0
1784758771.2,1.00,0.00,0.00,40.0
1784758772.2,1.00,0.00,0.00,40.0
1784758773.2,1.00,0.00,0.00,40.0
1784758774.2,1.00,0.00,0.00,40.0
1784758775.2,1.00,0.00,0.00,40.0
1784758776.2,1.00,0.00,0.00,40.0
1784758777.2,1.00,0.00,0.00,40.0
1784758778.2,1.00,0.00,0.00,40.0
1784758779.2,1.00,0.00,0.00,40.0
1784758780.2,1.00,0.00,0.00,40.0
1784758781.2,1.00,0.00,0.00,40.0
1784758782.2,1.00,0.00,0.00,40.0
1784758783.2,1.00,0.00,0.00,40.0
1784758784.2,1.00,0.00,0.00,40.0
1784758785.2,1.00,0.00,0.00,40.0
1784758786.2,1.00,0.00,0.00,40.0
1784758787.2,1.00,0.00,0.00,40.0
1784758788.2,1.00,0.00,0.00,40.0
1784758789.2,1.00,0.00,0.00,40.0
1784758790.2,1.00,0.00,0.00,40.0
1784758791.2,1.00,0.00,0.00,40.0
1784758792.2,1.00,0.00,0.00,40.0
1784758793.2,1.00,0.00,0.00,40.0
1784758794.2,1.00,0.00,0.00,40.0
1784758795.2,1.00,0.00,0.00,40.0
1784758796.2,1.00,0.00,0.00,40.0
1784758797.2,1.00,0.00,0.00,40.0
1784758798.2,1.00,0.00,0.00,40.0
1784758799.2,1.00,0.00,0.00,40.0
1784758800.2,1.00,0.00,0.00,40.0
1784758801.2,1.00,0.00,0.00,40.0
1784758802.2,1.00,0.00,0.00,40.0
1784758803.2,1.00,0.00,0.00,40.0
1784758804.2,1.00,0.00,0.00,40.0
1784758805.2,1.00,0.00,0.00,40.0
1784758806.2,1.00,0.00,0.00,40.0
1784758807.2,1.00,0.00,0.00,40.0
1784758808.2,1.00,0.00,0.00,40.0
1784758809.2,1.00,0.00,0.00,40.0
1784758810.2,1.00,0.00,0.00,40.0
1784758811.2,1.00,0.00,0.00,40.0
1784758812.2,1.00,0.00,0.00,40.0
1784758813.2,1.00,0.00,0.00,40.0
1784758814.2,1.00,0.00,0.00,40.0
1784758815.2,1.00,0.00,0.00,40.0
1784758816.2,1.00,0.00,0.00,40.0
1784758817.2,1.00,0.00,0.00,40.0
1784758818.2,1.00,0.00,0.00,40.0
1784758819.2,1.00,0.00,0.00,40.0
1784758820.2,1.00,0.00,0.00,40.0
1784758821.2,1.00,0.00,0.00,40.0
1784758822.2,1.00,0.00,0.00,40.0
1784758823.2,1.00,0.00,0.00,40.0
1784758824.2,1.00,0.00,0.00,40.0
1784758825.2,1.00,0.00,0.00,40.0
1784758826.2,1.00,0.00,0.00,40.0
1784758827.2,1.00,0.00,0.00,40.0
1784758828.2,1.00,0.00,0.00,40.0
1784758829.2,1.00,0.00,0.00,40.0
1784758830.2,1.00,0.00,0.00,40.0
1784758831.2,1.00,0.00,0.00,40.0
1784758832.2,1.00,0.00,0.00,40.0
1784758833.2,1.00,0.00,0.00,40.0
1784758834.2,1.00,0.00,0.00,40.0
1784758835.2,1.00,0.00,0.00,40.0
1784758836.2,1.00,0.00,0.00,40.0
1784758837.2,1.00,0.00,0.00,40.0
1784758838.2,1.00,0.00,0.00,40.0
1784758839.2,1.00,0.00,0.00,40.0
1784758840.2,1.00,0.00,0.00,40.0
1784758841.2,1.00,0.00,0.00,40.0
1784758842.2,1.00,0.00,0.00,40.0
1784758843.2,1.00,0.00,0.00,40.0
1784758844.2,1.00,0.00,0.00,40.0
1784758845.2,1.00,0.00,0.00,40.0
1784758846.2,1.00,0.00,0.00,40.0
1784758847.2,1.00,0.00,0.00,40.0
1784758848.2,1.00,0.00,0.00,40.0
1784758849.2,1.00,0.00,0.00,40.0
1784758850.2,1.00,0.00,0.00,40.0
1784758851.2,1.00,0.00,0.00,40.0
1784758852.2,1.00,0.00,0.00,40.0
1784758853.2,1.00,0.00,0.00,40.0
1784758854.2,1.00,0.00,0.00,40.0
1784758855.2,1.00,0.00,0.00,40.0
1784758856.2,1.00,0.00,0.00,40.0
1784758857.2,1.00,0.00,0.00,40.0
1784758858.2,1.00,0.00,0.00,40.0
1784758859.2,1.00,0.00,0.00,40.0
1784758860.2,1.00,0.00,0.00,40.0
1784758861.2,1.00,0.00,0.00,40.0
1784758862.2,1.00,0.00,0.00,40.0
1784758863.2,1.00,0.00,0.00,40.0
1784758864.2,1.00,0.00,0.00,40.0
1784758865.2,1.00,0.00,0.00,40.0
1784758866.2,1.00,0.00,0.00,40.0
1784758867.2,1.00,0.00,0.00,40.0
1784758868.2,1.00,0.00,0.00,40.0
1784758869.2,1.00,0.00,0.00,40.0
1784758870.2,1.00,0.00,0.00,40.0
1784758871.2,1.00,0.00,0.00,40.0
1784758872.2,1.00,0.00,0.00,40.0
1784758873.2,1.00,0.00,0.00,40.0
1784758874.2,1.00,0.00,0.00,40.0
1784758875.2,1.00,0.00,0.00,40.0
1784758876.2,1.00,0.00,0.00,40.0
1784758877.2,1.00,0.00,0.00,40.0
1784758878.2,1.00,0.00,0.00,40.0
1784758879.2,1.00,0.00,0.00,40.0
1784758880.2,1.00,0.00,0.00,40.0
1784758881.2,1.00,0.00,0.00,40.0
1784758882.2,1.00,0.00,0.00,40.0
1784758883.2,1.00,0.00,0.00,40.0
1784758884.2,1.00,0.00,0.00,40.0
1784758885.2,1.00,0.00,0.00,40.0
1784758886.2,1.00,0.00,0.00,40.0
1784758887.2,1.00,0.00,0.00,40.0
1784758888.2,1.00,0.00,0.00,40.0
1784758889.2,1.00,0.00,0.00,40.0
1784758890.2,1.00,0.00,0.00,40.0
1784758891.2,1.00,0.00,0.00,40.0
1784758892.2,1.00,0.00,0.00,40.0
1784758893.2,1.00,0.00,0.00,40.0
1784758894.2,1.00,0.00,0.00,40.0
1784758895.2,1.00,0.00,0.00,40.0
1784758896.2,1.00,0.00,0.00,40.0
1784758897.2,1.00,0.00,0.00,40.0
1784758898.2,1.00,0.00,0.00,40.0
1784758899.2,1.00,0.00,0.00,40.0
1784758900.2,1.00,0.00,0.00,40.0
1784758901.2,1.00,0.00,0.00,40.0
1784758902.2,1.00,0.00,0.00,40.0
1784758903.2,1.00,0.00,0.00,40.0
1784758904.2,1.00,0.00,0.00,40.0
1784758905.2,1.00,0.00,0.00,40.0
1784758906.2,1.00,0.00,0.00,40.0
1784758907.2,1.00,0.00,0.00,40.0
1784758908.2,1.00,0.00,0.00,40.0
1784758909.2,1.00,0.00,0.00,40.0
1784758910.2,1.00,0.00,0.00,40.0
1784758911.2,1.00,0.00,0.00,40.0
1784758912.2,1.00,0.00,0.00,40.0
1784758913.2,1.00,0.00,0.00,40.0
1784758914.2,1.00,0.00,0.00,40.0
1784758915.2,1.00,0.00,0.00,40.0
1784758916.2,1.00,0.00,0.00,40.0
1784758917.2,1.00,0.00,0.00,40.0
1784758918.2,1.00,0.00,0.00,40.0
1784758919.2,1.00,0.00,0.00,40.0
1784758920.2,1.00,0.00,0.00,40.0
1784758921.2,1.00,0.00,0.00,40.0
1784758922.2,1.00,0.00,0.00,40.0
1784758923.2,1.00,0.00,0.00,40.0
1784758924.2,1.00,0.00,0.00,40.0
1784758925.2,1.00,0.00,0.00,40.0
1784758926.2,1.00,0.00,0.00,40.0
1784758927.2,1.00,0.00,0.00,40.0
1784758928.2,1.00,0.00,0.00,40.0
1784758929.2,1.00,0.00,0.00,40.0
1784758930.2,1.00,0.00,0.00,40.0
1784758931.2,1.00,0.00,0.00,40.0
1784758932.2,1.00,0.00,0.00,40.0
1784758933.2,1.00,0.00,0.00,40.0
1784758934.2,1.00,0.00,0.00,40.0
1784758935.2,1.00,0.00,0.00,40.0
1784758936.2,1.00,0.00,0.00,40.0
1784758937.2,1.00,0.00,0.00,40.0
1784758938.2,1.00,0.00,0.00,40.0
1784758939.2,1.00,0.00,0.00,40.0
1784758940.2,1.00,0.00,0.00,40.0
1784758941.2,1.00,0.00,0.00,40.0
1784758942.2,1.00,0.00,0.00,40.0
1784758943.2,1.00,0.00,0.00,40.0
1784758944.2,1.00,0.00,0.00,40.0
1784758945.2,1.00,0.00,0.00,40.0
1784758946.2,1.00,0.00,0.00,40.0
1784758947.2,1.00,0.00,0.00,40.0
1784758948.2,1.00,0.00,0.00,40.0
1784758949.2,1.00,0.00,0.00,40.0
1784758950.2,1.00,0.00,0.00,40.0
1784758951.2,1.00,0.00,0.00,40.0
1784758952.2,1.00,0.00,0.00,40.0
1784758953.2,1.00,0.00,0.00,40.0
1784758954.2,1.00,0.00,0.00,40.0
1784758955.2,1.00,0.00,0.00,40.0
1784758956.2,1.00,0.00,0.00,40.0
1784758957.2,1.00,0.00,0.00,40.0
1784758958.2,1.00,0.00,0.00,40.0
1784758959.2,1.00,0.00,0.00,40.0
1784758960.2,0.99,0.00,0.00,39.6
1784758961.2,0.97,0.00,0.00,38.8
1784758962.2,0.94,0.00,0.00,37.5
1784758963.2,0.90,0.00,0.00,36.2
1784758964.2,0.87,0.00,0.00,34.9
1784758965.2,0.84,0.00,0.00,33.5
1784758966.2,0.81,0.00,0.00,32.2
1784758967.2,0.80,0.00,0.00,32.1
1784758968.2,0.77,0.00,0.00,30.8
1784758969.2,0.74,0.00,0.00,29.5
1784758970.2,0.70,0.00,0.00,28.2
1784758971.2,0.67,0.00,0.00,26.9
1784758972.2,0.64,0.00,0.00,25.6
1784758973.2,0.61,0.00,0.00,24.2
1784758974.2,0.57,0.00,0.00,22.9
1784758975.2,0.54,0.00,0.00,21.6
1784758976.2,0.51,0.00,0.00,20.3
1784758977.2,0.47,0.00,0.00,19.0
1784758978.2,0.44,0.00,0.00,17.6
1784758979.2,0.41,0.00,0.00,16.3
1784758980.2,0.37,0.00,0.00,14.9
1784758981.2,0.34,0.00,0.00,13.6
1784758982.2,0.31,0.00,0.00,12.2
1784758983.2,0.27,0.00,0.00,10.9
1784758984.2,0.24,0.00,0.00,9.5
1784758985.2,0.20,0.00,0.00,8.2
1784758986.2,0.17,0.00,0.00,6.8
1784758987.2,0.14,0.00,0.00,5.5
1784758988.2,0.10,0.00,0.00,4.1
1784758989.2,0.07,0.00,0.00,2.8
1784758990.2,0.05,0.00,0.00,1.8
1784758991.2,0.03,0.00,0.00,1.3
1784758992.2,0.03,0.00,0.00,1.3
1784758993.2,0.03,0.00,0.00,1.3
1784758994.2,0.03,0.00,0.00,1.3
1784758995.2,0.03,0.00,0.00,1.3
1784758996.2,0.03,0.00,0.00,1.3
1784758997.2,0.00,0.00,0.00,0.0
1784758998.2,0.00,0.00,0.00,0.0
1784758999.2,0.00,0.00,0.00,0.0
1784759000.2,0.00,0.00,0.00,0.0
1784759001.2,0.00,0.00,0.00,0.0
1784759002.2,0.00,0.00,0.00,0.0
1784759003.2,0.00,0.00,0.00,0.0
1784759004.2,0.00,0.00,0.00,0.0
1784759005.2,0.00,0.00,0.00,0.0
1784759006.2,0.00,0.00,0.00,0.0
1784759007.2,0.00,0.00,0.00,0.0
1784759008.2,0.00,0.00,0.00,0.0
1784759009.2,0.00,0.00,0.00,0.0
1784759010.2,0.00,0.00,0.00,0.0
1784759011.2,0.00,0.00,0.00,0.0
1784759012.2,0.00,0.00,0.00,0.0
1784759013.2,0.00,0.00,0.00,0.0
1784759014.2,0.00,0.00,0.00,0.0
1784759015.2,0.00,0.00,0.00,0.0
1784759016.2,0.00,0.00,0.00,0.0
1784759017.2,0.00,0.00,0.00,0.0
1784759018.2,0.00,0.00,0.00,0.0
1784759019.2,0.00,0.00,0.00,0.0
1784759020.2,0.00,0.00,0.00,0.0
1784759021.2,0.00,0.00,0.00,0.0
1784759022.2,0.00,0.00,0.00,0.0
1784759023.2,0.00,0.00,0.00,0.0
1784759024.2,0.00,0.00,0.00,0.0
1784759025.2,0.00,0.00,0.00,0.0
1784759026.2,0.02,0.00,0.00,0.8
1784759027.2,0.05,0.00,0.00,2.1
1784759028.2,0.06,0.00,0.00,2.6
1784759029.2,0.06,0.00,0.00,2.6
1784759030.2,0.06,0.00,0.00,2.6
1784759031.2,0.06,0.00,0.00,2.6
1784759032.2,0.06,0.00,0.00,2.6
1784759033.2,0.06,0.00,0.00,2.6
1784759034.2,0.06,0.00,0.00,2.6
1784759035.2,0.06,0.00,0.00,2.6
1784759036.2,0.06,0.00,0.00,2.6
1784759037.2,0.06,0.00,0.00,2.6
1784759038.2,0.06,0.00,0.00,2.6
1784759039.2,0.06,0.00,0.00,2.6
1784759040.2,0.06,0.00,0.00,2.6
1784759041.2,0.06,0.00,0.00,2.6
1784759042.2,0.06,0.00,0.00,2.6
1784759043.2,0.06,0.00,0.00,2.6
1784759044.2,0.06,0.00,0.00,2.6
1784759045.2,0.06,0.00,0.00,2.6
1784759046.2,0.06,0.00,0.00,2.6
1784759047.2,0.06,0.00,0.00,2.6
1784759048.2,0.06,0.00,0.00,2.6
1784759049.2,0.06,0.00,0.00,2.6
1784759050.2,0.06,0.00,0.00,2.6
1784759051.2,0.06,0.00,0.00,2.6
1784759052.2,0.06,0.00,0.00,2.6
1784759053.2,0.06,0.00,0.00,2.6
1784759054.2,0.06,0.00,0.00,2.6
1784759055.2,0.06,0.00,0.00,2.6
1784759056.2,0.04,0.00,0.00,1.8
1784759057.2,0.01,0.00,0.00,0.5
1784759058.2,0.00,0.00,0.00,0.0
1784759059.2,0.00,0.00,0.00,0.0
1784759060.2,0.00,0.00,0.00,0.0
1784759061.2,0.00,0.00,0.00,0.0
1784759062.2,0.00,0.00,0.00,0.0
1784759063.2,0.00,0.00,0.00,0.0
1784759064.2,0.00,0.00,0.00,0.0
1784759065.2,0.00,0.00,0.00,0.0
1784759066.2,0.00,0.00,0.00,0.0
1784759067.2,0.00,0.00,0.00,0.0
1784759068.2,0.00,0.00,0.00,0.0
1784759069.2,0.00,0.00,0.00,0.0
1784759070.2,0.00,0.00,0.00,0.0
1784759071.2,0.00,0.00,0.00,0.0
1784759072.2,0.00,0.00,0.00,0.0
1784759073.2,0.00,0.00,0.00,0.0
1784759074.2,0.00,0.00,0.00,0.0
1784759075.2,0.00,0.00,0.00,0.0
1784759076.2,0.00,0.00,0.00,0.0
1784759077.2,0.00,0.00,0.00,0.0
1784759078.2,0.00,0.00,0.00,0.0
1784759079.2,0.00,0.00,0.00,0.0
1784759080.2,0.00,0.00,0.00,0.0
1784759081.2,0.00,0.00,0.00,0.0
1784759082.2,0.00,0.00,0.00,0.0
1784759083.2,0.00,0.00,0.00,0.0
1784759084.2,0.00,0.00,0.00,0.0
1784759085.2,0.00,0.00,0.00,0.0
1784759086.2,0.00,0.00,0.00,0.0
1784759087.2,0.00,0.00,0.00,0.0
1784759088.2,0.00,0.00,0.00,0.0
1784759089.2,0.00,0.00,0.00,0.0
1784759090.2,0.00,0.00,0.00,0.0
1784759091.2,0.00,0.00,0.00,0.0
1784759092.2,0.00,0.00,0.00,0.0
1784759093.2,0.00,0.00,0.00,0.0
1784759094.2,0.00,0.00,0.00,0.0
1784759095.2,0.00,0.00,0.00,0.0
1784759096.2,0.00,0.00,0.00,0.0
1784759097.2,0.00,0.00,0.00,0.0
