t_sec,presence,proximity,gaze,sws
1784867868.5,1.00,0.00,1.00,70.0
1784867869.5,1.00,0.00,1.00,70.0
1784867870.5,1.00,0.00,1.00,70.0
1784867871.5,1.00,0.00,1.00,70.0
1784867872.5,1.00,0.00,1.00,70.0
1784867873.5,1.00,0.00,1.00,70.0
1784867874.5,1.00,0.00,1.00,70.0
1784867875.5,1.00,0.00,1.00,70.0
1784867876.5,1.00,0.00,1.00,70.0
1784867877.5,1.00,0.00,1.00,70.0
1784867878.5,1.00,0.00,1.00,70.0
1784867879.5,1.00,0.00,1.00,70.0
1784867880.5,1.00,0.00,1.00,70.0
1784867881.5,1.00,0.00,0.99,69.8
1784867882.5,1.00,0.00,0.93,67.8
1784867883.5,1.00,0.00,0.87,66.1
1784867884.5,1.00,0.00,0.82,64.5
1784867885.5,1.00,0.00,0.81,64.3
1784867886.5,1.00,0.00,0.82,64.6
1784867887.5,1.00,0.00,0.83,64.9
1784867888.5,1.00,0.00,0.84,65.1
1784867889.5,1.00,0.00,0.85,65.4
1784867890.5,1.00,0.00,0.85,65.6
1784867891.5,1.00,0.00,0.85,65.6
1784867892.5,1.00,0.00,0.86,65.8
1784867893.5,1.00,0.00,0.87,66.0
1784867894.5,1.00,0.00,0.87,66.1
1784867895.5,1.00,0.00,0.84,65.3
1784867896.5,1.00,0.00,0.81,64.4
1784867897.5,1.00,0.00,0.79,63.6
1784867898.5,1.00,0.00,0.75,62.6
1784867899.5,1.00,0.00,0.72,61.6
1784867900.5,1.00,0.00,0.69,60.6
1784867901.5,1.00,0.00,0.65,59.6
1784867902.5,1.00,0.00,0.62,58.6
1784867903.5,1.00,0.00,0.59,57.6
1784867904.5,1.00,0.00,0.55,56.6
1784867905.5,1.00,0.00,0.52,55.6
1784867906.5,1.00,0.00,0.49,54.6
1784867907.5,1.00,0.00,0.45,53.6
1784867908.5,1.00,0.00,0.42,52.6
1784867909.5,1.00,0.00,0.39,51.6
1784867910.5,1.00,0.00,0.35,50.6
1784867911.5,1.00,0.00,0.32,49.7
1784867912.5,1.00,0.00,0.32,49.7
1784867913.5,1.00,0.00,0.32,49.7
1784867914.5,1.00,0.00,0.32,49.7
1784867915.5,1.00,0.00,0.30,49.0
1784867916.5,1.00,0.00,0.27,48.0
1784867917.5,1.00,0.00,0.23,47.0
1784867918.5,1.00,0.00,0.20,46.0
1784867919.5,1.00,0.00,0.17,45.0
1784867920.5,1.00,0.00,0.13,44.0
1784867921.5,1.00,0.00,0.10,43.1
1784867922.5,1.00,0.00,0.07,42.1
1784867923.5,1.00,0.00,0.04,41.1
