t_sec,presence,proximity,gaze,sws
1784664537.6,1.00,0.00,0.00,40.0
1784664538.6,1.00,0.00,0.00,40.0
1784664539.6,1.00,0.00,0.00,40.0
1784664540.6,1.00,0.00,0.00,40.0
1784664541.6,1.00,0.00,0.00,40.0
1784664542.6,1.00,0.00,0.00,40.0
1784664543.6,1.00,0.00,0.00,40.0
1784664544.6,1.00,0.00,0.00,40.0
1784664545.6,1.00,0.00,0.00,40.0
1784664546.6,1.00,0.00,0.00,40.0
1784664547.6,0.99,0.00,0.00,39.5
1784664548.6,0.96,0.00,0.00,38.3
1784664549.6,0.96,0.00,0.00,38.5
1784664550.6,0.96,0.00,0.00,38.6
1784664551.6,0.97,0.00,0.00,38.7
1784664552.6,0.97,0.00,0.00,38.7
1784664553.6,0.97,0.00,0.00,38.8
1784664554.6,0.97,0.00,0.00,38.9
1784664555.6,0.97,0.00,0.00,38.9
1784664556.6,0.97,0.00,0.00,38.7
1784664557.6,0.97,0.00,0.00,38.7
1784664558.6,0.97,0.00,0.00,38.8
1784664559.6,0.97,0.00,0.00,38.8
1784664560.6,0.97,0.00,0.00,38.9
1784664561.6,0.97,0.00,0.00,38.9
1784664562.6,0.97,0.00,0.00,39.0
1784664563.6,0.98,0.00,0.00,39.0
1784664564.6,0.98,0.00,0.00,39.0
1784664565.6,0.98,0.00,0.00,39.1
1784664566.6,0.98,0.00,0.00,39.1
1784664567.6,0.98,0.00,0.00,39.1
1784664568.6,0.98,0.00,0.00,39.1
1784664569.6,0.98,0.00,0.00,39.1
1784664570.6,0.98,0.00,0.00,39.1
1784664571.6,0.98,0.00,0.00,39.1
1784664572.6,0.98,0.00,0.00,39.1
1784664573.6,0.98,0.00,0.00,39.1
1784664574.6,0.98,0.00,0.00,39.1
1784664575.6,0.98,0.00,0.00,39.1
1784664576.6,0.98,0.00,0.00,39.1
1784664577.6,0.98,0.00,0.00,39.3
1784664578.6,0.99,0.00,0.00,39.8
1784664579.6,0.99,0.00,0.00,39.8
1784664580.6,0.99,0.00,0.00,39.8
1784664581.6,0.99,0.00,0.00,39.8
1784664582.6,0.99,0.00,0.00,39.8
1784664583.6,0.99,0.00,0.00,39.8
1784664584.6,0.99,0.00,0.00,39.8
1784664585.6,0.99,0.00,0.00,39.8
1784664586.6,1.00,0.00,0.00,40.0
1784664587.6,1.00,0.00,0.00,40.0
1784664588.6,1.00,0.00,0.00,40.0
1784664589.6,1.00,0.00,0.00,40.0
1784664590.6,1.00,0.00,0.00,40.0
1784664591.6,1.00,0.00,0.00,40.0
1784664592.6,1.00,0.00,0.00,40.0
1784664593.6,1.00,0.00,0.00,40.0
1784664594.6,1.00,0.00,0.00,40.0
1784664595.6,1.00,0.00,0.00,40.0
1784664596.6,1.00,0.00,0.00,40.0
1784664597.6,1.00,0.00,0.00,40.0
1784664598.6,1.00,0.00,0.00,40.0
1784664599.6,1.00,0.00,0.00,40.0
1784664600.6,1.00,0.00,0.00,40.0
1784664601.6,1.00,0.00,0.00,40.0
1784664602.6,1.00,0.00,0.00,40.0
1784664603.6,1.00,0.00,0.00,40.0
1784664604.6,1.00,0.00,0.00,40.0
1784664605.6,1.00,0.00,0.00,40.0
1784664606.6,1.00,0.00,0.00,40.0
1784664607.6,1.00,0.00,0.00,40.0
1784664608.6,1.00,0.00,0.00,40.0
1784664609.6,1.00,0.00,0.00,40.0
1784664610.6,1.00,0.00,0.00,40.0
1784664611.6,1.00,0.00,0.00,40.0
1784664612.6,1.00,0.00,0.00,40.0
1784664613.6,1.00,0.00,0.00,40.0
1784664614.6,1.00,0.00,0.00,40.0
1784664615.6,1.00,0.00,0.00,40.0
1784664616.6,1.00,0.00,0.00,40.0
1784664617.6,1.00,0.00,0.00,40.0
1784664618.6,1.00,0.00,0.00,40.0
1784664619.6,1.00,0.00,0.00,40.0
1784664620.6,1.00,0.00,0.00,40.0
1784664621.6,1.00,0.00,0.00,40.0
1784664622.6,1.00,0.00,0.00,40.0
1784664623.6,0.97,0.00,0.00,38.7
1784664624.6,0.93,0.00,0.00,37.3
1784664625.6,0.90,0.00,0.00,36.0
1784664626.6,0.87,0.00,0.00,34.6
1784664627.6,0.83,0.00,0.00,33.3
1784664628.6,0.80,0.00,0.00,31.9
1784664629.6,0.76,0.00,0.00,30.6
1784664630.6,0.73,0.00,0.00,29.2
1784664631.6,0.70,0.00,0.00,27.9
1784664632.6,0.66,0.00,0.00,26.6
1784664633.6,0.63,0.00,0.00,25.2
1784664634.6,0.60,0.00,0.00,23.9
1784664635.6,0.59,0.00,0.00,23.7
1784664636.6,0.56,0.00,0.00,22.3
1784664637.6,0.52,0.00,0.00,21.0
1784664638.6,0.50,0.00,0.00,20.1
1784664639.6,0.50,0.00,0.00,20.1
1784664640.6,0.50,0.00,0.00,20.1
1784664641.6,0.50,0.00,0.00,20.1
1784664642.6,0.50,0.00,0.00,20.1
1784664643.6,0.50,0.00,0.00,20.1
1784664644.6,0.50,0.00,0.00,20.1
1784664645.6,0.50,0.00,0.00,20.1
1784664646.6,0.50,0.00,0.00,20.1
1784664647.6,0.50,0.00,0.00,20.1
1784664648.6,0.50,0.00,0.00,20.1
1784664649.6,0.50,0.00,0.00,20.1
1784664650.6,0.50,0.00,0.00,20.1
1784664651.6,0.50,0.00,0.00,20.1
1784664652.6,0.50,0.00,0.00,20.1
1784664653.6,0.54,0.00,0.00,21.5
1784664654.6,0.57,0.00,0.00,22.8
1784664655.6,0.60,0.00,0.00,24.2
1784664656.6,0.64,0.00,0.00,25.5
1784664657.6,0.67,0.00,0.00,26.8
1784664658.6,0.70,0.00,0.00,28.2
1784664659.6,0.74,0.00,0.00,29.5
1784664660.6,0.77,0.00,0.00,30.9
1784664661.6,0.81,0.00,0.00,32.2
1784664662.6,0.84,0.00,0.00,33.6
1784664663.6,0.87,0.00,0.00,34.9
1784664664.6,0.91,0.00,0.00,36.2
1784664665.6,0.91,0.00,0.00,36.5
1784664666.6,0.95,0.00,0.00,37.8
1784664667.6,0.98,0.00,0.00,39.1
1784664668.6,1.00,0.00,0.00,40.0
1784664669.6,1.00,0.00,0.00,40.0
1784664670.6,1.00,0.00,0.00,40.0
1784664671.6,1.00,0.00,0.00,40.0
1784664672.6,1.00,0.00,0.00,40.0
1784664673.6,1.00,0.00,0.00,40.0
1784664674.6,1.00,0.00,0.00,40.0
1784664675.6,1.00,0.00,0.00,40.0
1784664676.6,1.00,0.00,0.00,40.0
1784664677.6,1.00,0.00,0.00,40.0
1784664678.6,1.00,0.00,0.00,40.0
1784664679.6,1.00,0.00,0.00,40.0
1784664680.6,1.00,0.00,0.00,40.0
1784664681.6,1.00,0.00,0.00,40.0
1784664682.6,1.00,0.00,0.00,40.0
1784664683.6,1.00,0.00,0.00,40.0
1784664684.6,1.00,0.00,0.00,40.0
1784664685.6,1.00,0.00,0.00,40.0
1784664686.6,1.00,0.00,0.00,40.0
1784664687.6,1.00,0.00,0.00,40.0
1784664688.6,1.00,0.00,0.00,40.0
1784664689.6,1.00,0.00,0.00,40.0
1784664690.6,1.00,0.00,0.00,40.0
1784664691.6,1.00,0.00,0.00,40.0
1784664692.6,1.00,0.00,0.00,40.0
1784664693.6,1.00,0.00,0.00,40.0
1784664694.6,1.00,0.00,0.00,40.0
1784664695.6,1.00,0.00,0.00,40.0
1784664696.6,1.00,0.00,0.00,40.0
1784664697.6,1.00,0.00,0.00,40.0
1784664698.6,1.00,0.00,0.00,40.0
1784664699.6,1.00,0.00,0.00,40.0
1784664700.6,1.00,0.00,0.00,40.0
1784664701.6,1.00,0.00,0.00,40.0
1784664702.6,1.00,0.00,0.00,40.0
1784664703.6,1.00,0.00,0.00,40.0
1784664704.6,1.00,0.00,0.00,40.0
1784664705.6,1.00,0.00,0.00,40.0
1784664706.6,1.00,0.00,0.00,40.0
1784664707.6,1.00,0.00,0.00,40.0
1784664708.6,1.00,0.00,0.00,40.0
1784664709.6,1.00,0.00,0.00,40.0
1784664710.6,1.00,0.00,0.00,40.0
1784664711.6,1.00,0.00,0.00,40.0
1784664712.6,1.00,0.00,0.00,40.0
1784664713.6,1.00,0.00,0.00,40.0
1784664714.6,1.00,0.00,0.00,40.0
1784664715.6,1.00,0.00,0.00,40.0
1784664716.6,1.00,0.00,0.00,40.0
1784664717.6,1.00,0.00,0.00,40.0
1784664718.6,1.00,0.00,0.00,40.0
1784664719.6,1.00,0.00,0.00,40.0
1784664720.6,1.00,0.00,0.00,40.0
1784664721.6,1.00,0.00,0.00,40.0
1784664722.6,1.00,0.00,0.00,40.0
1784664723.6,1.00,0.00,0.00,40.0
1784664724.6,1.00,0.00,0.00,40.0
1784664725.6,1.00,0.00,0.00,40.0
1784664726.6,1.00,0.00,0.00,40.0
1784664727.6,1.00,0.00,0.00,40.0
1784664728.6,1.00,0.00,0.00,40.0
1784664729.6,1.00,0.00,0.00,40.0
1784664730.6,1.00,0.00,0.00,40.0
1784664731.6,1.00,0.00,0.00,40.0
1784664732.6,1.00,0.00,0.00,40.0
1784664733.6,1.00,0.00,0.00,40.0
1784664734.6,1.00,0.00,0.00,40.0
1784664735.6,1.00,0.00,0.00,40.0
1784664736.6,1.00,0.00,0.00,40.0
1784664737.6,1.00,0.00,0.00,40.0
1784664738.6,1.00,0.00,0.00,40.0
1784664739.6,1.00,0.00,0.00,40.0
1784664740.6,1.00,0.00,0.00,40.0
1784664741.6,1.00,0.00,0.00,40.0
1784664742.6,1.00,0.00,0.00,40.0
1784664743.6,1.00,0.00,0.00,40.0
1784664744.6,1.00,0.00,0.00,40.0
1784664745.6,1.00,0.00,0.00,40.0
1784664746.6,1.00,0.00,0.00,40.0
1784664747.6,1.00,0.00,0.00,40.0
1784664748.6,1.00,0.00,0.00,40.0
1784664749.6,1.00,0.00,0.00,40.0
1784664750.6,1.00,0.00,0.00,40.0
1784664751.6,1.00,0.00,0.00,40.0
1784664752.6,1.00,0.00,0.00,40.0
1784664753.6,1.00,0.00,0.00,40.0
1784664754.6,1.00,0.00,0.00,40.0
1784664755.6,1.00,0.00,0.00,40.0
1784664756.6,1.00,0.00,0.00,40.0
1784664757.6,1.00,0.00,0.00,40.0
1784664758.6,1.00,0.00,0.00,40.0
1784664759.6,1.00,0.00,0.00,40.0
1784664760.6,1.00,0.00,0.00,40.0
1784664761.6,1.00,0.00,0.00,40.0
1784664762.6,1.00,0.00,0.00,40.0
1784664763.6,1.00,0.00,0.00,40.0
1784664764.6,1.00,0.00,0.00,40.0
1784664765.6,1.00,0.00,0.00,40.0
1784664766.6,1.00,0.00,0.00,40.0
1784664767.6,1.00,0.00,0.00,40.0
1784664768.6,1.00,0.00,0.00,40.0
1784664769.6,1.00,0.00,0.00,40.0
1784664770.6,1.00,0.00,0.00,40.0
1784664771.6,1.00,0.00,0.00,40.0
1784664772.6,1.00,0.00,0.00,40.0
1784664773.6,1.00,0.00,0.00,40.0
1784664774.6,1.00,0.00,0.00,40.0
1784664775.6,1.00,0.00,0.00,40.0
1784664776.6,1.00,0.00,0.00,40.0
1784664777.6,1.00,0.00,0.00,40.0
1784664778.6,1.00,0.00,0.00,40.0
1784664779.6,1.00,0.00,0.00,40.0
1784664780.6,1.00,0.00,0.00,40.0
1784664781.6,1.00,0.00,0.00,40.0
1784664782.6,1.00,0.00,0.00,40.0
1784664783.6,1.00,0.00,0.00,40.0
1784664784.6,1.00,0.00,0.00,40.0
1784664785.6,1.00,0.00,0.00,40.0
1784664786.6,1.00,0.00,0.00,40.0
1784664787.6,1.00,0.00,0.00,40.0
1784664788.6,1.00,0.00,0.00,40.0
1784664789.6,1.00,0.00,0.00,40.0
1784664790.6,1.00,0.00,0.00,40.0
1784664791.6,1.00,0.00,0.00,40.0
1784664792.6,1.00,0.00,0.00,40.0
1784664793.6,1.00,0.00,0.00,40.0
1784664794.6,1.00,0.00,0.00,40.0
1784664795.6,1.00,0.00,0.00,40.0
1784664796.6,1.00,0.00,0.00,40.0
1784664797.6,1.00,0.00,0.00,40.0
1784664798.6,1.00,0.00,0.00,40.0
1784664799.6,1.00,0.00,0.00,40.0
1784664800.6,1.00,0.00,0.00,40.0
1784664801.6,1.00,0.00,0.00,40.0
1784664802.6,1.00,0.00,0.00,40.0
1784664803.6,1.00,0.00,0.00,40.0
1784664804.6,1.00,0.00,0.00,40.0
1784664805.6,1.00,0.00,0.00,40.0
1784664806.6,1.00,0.00,0.00,40.0
1784664807.6,1.00,0.00,0.00,40.0
1784664808.6,1.00,0.00,0.00,40.0
1784664809.6,1.00,0.00,0.00,40.0
1784664810.6,1.00,0.00,0.00,40.0
1784664811.6,1.00,0.00,0.00,40.0
1784664812.6,1.00,0.00,0.00,40.0
1784664813.6,1.00,0.00,0.00,40.0
1784664814.6,1.00,0.00,0.00,40.0
1784664815.6,1.00,0.00,0.00,40.0
1784664816.6,1.00,0.00,0.00,40.0
1784664817.6,1.00,0.00,0.00,40.0
1784664818.6,1.00,0.00,0.00,40.0
1784664819.6,1.00,0.00,0.00,40.0
1784664820.6,1.00,0.00,0.00,40.0
1784664821.6,1.00,0.00,0.00,40.0
1784664822.6,1.00,0.00,0.00,40.0
1784664823.6,1.00,0.00,0.00,40.0
1784664824.6,1.00,0.00,0.00,40.0
1784664825.6,1.00,0.00,0.00,40.0
1784664826.6,1.00,0.00,0.00,40.0
1784664827.6,1.00,0.00,0.00,40.0
1784664828.6,1.00,0.00,0.00,40.0
1784664829.6,1.00,0.00,0.00,40.0
1784664830.6,1.00,0.00,0.00,40.0
1784664831.6,1.00,0.00,0.00,40.0
1784664832.6,1.00,0.00,0.00,40.0
1784664833.6,1.00,0.00,0.00,40.0
1784664834.6,1.00,0.00,0.00,40.0
1784664835.6,1.00,0.00,0.00,40.0
1784664836.6,1.00,0.00,0.00,40.0
1784664837.6,1.00,0.00,0.00,40.0
1784664838.6,1.00,0.00,0.00,40.0
1784664839.6,1.00,0.00,0.00,40.0
1784664840.6,1.00,0.00,0.00,40.0
1784664841.6,1.00,0.00,0.00,40.0
1784664842.6,1.00,0.00,0.00,40.0
1784664843.6,1.00,0.00,0.00,40.0
1784664844.6,1.00,0.00,0.00,40.0
1784664845.6,1.00,0.00,0.00,40.0
1784664846.6,1.00,0.00,0.00,40.0
1784664847.6,1.00,0.00,0.00,40.0
1784664848.6,1.00,0.00,0.00,40.0
1784664849.6,1.00,0.00,0.00,40.0
1784664850.6,1.00,0.00,0.00,40.0
